           15  1.20  0.762 -0.023  4.27  2.51 -1.05  -0.21 -0.11  0.09  0.24
           16  1.30  0.793 -0.031  3.87  2.26 -0.98  -0.22 -0.11  0.14  0.16
           17  1.40  0.827 -0.027  3.38  2.05 -0.82  -0.26 -0.09  0.13  0.15
           18  1.50  0.851 -0.031  3.08  1.98 -0.81  -0.26 -0.11  0.14  0.13
           19  1.70  0.891 -0.034  2.49  1.57 -0.64  -0.25 -0.11  0.09  0.09
           20  2.00  0.942 -0.033  1.76  1.21 -0.44  -0.24 -0.09  0.11  0.09
           21  2.40  0.990 -0.031  0.91  0.67 -0.12  -0.11 -0.04  0.05  0.04
           22  2.80  1.009 -0.028  0.45  0.36  0.01   0.01  0.01  0.00  0.01
           23  3.20  1.003 -0.028  0.41  0.33  0.04   0.02  0.02  0.00  0.00
           24  3.60  1.002 -0.026  0.40  0.33  0.03   0.01  0.01  0.00  0.00
           25  4.00  1.000 -0.028  0.38  0.30  0.03   0.02  0.01  0.00  0.00
           26  5.00  0.997 -0.027  0.36  0.29  0.01   0.02  0.01  0.00  0.00
           27  6.00  0.994 -0.027  0.33  0.27 -0.01   0.01  0.01 -0.01 -0.01
           28  7.50  0.993 -0.025  0.36  0.30  0.01   0.01  0.01  0.00  0.00
           29  8.20  0.919 -0.013  1.83  1.56  0.59  -0.30 -0.19 -0.15 -0.14
zone,t="exp, x/H=4"
            2  0.10 -0.171 -0.014  9.71  7.67  -2.64   4.26  2.49 -2.60 -2.47
            3  0.15 -0.154 -0.020 13.20 10.10  -4.45  10.50  4.70 -5.18 -4.94
            4  0.20 -0.134 -0.027 16.50 12.98  -6.30  13.67  5.61 -6.52 -5.34
            5  0.30 -0.057 -0.046 25.91 16.16  -9.94  16.29  4.72 -5.66 -4.41
            6  0.40  0.052 -0.068 32.92 18.95 -12.02  -4.83 -2.74  3.50  2.13
            7  0.50  0.169 -0.082 30.67 18.32 -11.11 -26.75 -8.98 11.86  6.02
            8  0.60  0.279 -0.093 23.24 15.90  -8.99 -19.61 -9.14  9.42  6.90
            9  0.70  0.381 -0.094 18.21 13.03  -6.93  -5.06 -4.23  3.71  4.03
           10  0.80  0.473 -0.097 17.03 10.98  -5.98  -3.65 -3.38  3.11  3.89
           11  0.90  0.568 -0.097 14.45  8.30  -4.52  -5.19 -2.98  2.45  3.04
           12  1.00  0.656 -0.092 11.55  6.33  -3.48  -6.85 -2.78  2.86  2.55
           13  1.10  0.730 -0.089  7.70  4.20  -2.10  -3.69 -1.47  1.52  1.57
           14  1.15  0.754 -0.087  6.27  3.52  -1.65  -2.27 -0.94  1.00  1.14
           15  1.20  0.778 -0.084  4.85  2.83  -1.19  -0.84 -0.42  0.48  0.71
           16  1.30  0.811 -0.083  3.80  2.19  -0.87  -0.44 -0.19  0.16  0.32
           17  1.40  0.835 -0.081  3.17  1.80  -0.67  -0.29 -0.11  0.13  0.20
           18  1.50  0.856 -0.079  2.86  1.52  -0.56  -0.31 -0.08  0.10  0.14
           19  1.70  0.895 -0.076  2.27  1.25  -0.45  -0.34 -0.10  0.14  0.13
           20  2.00  0.940 -0.072  1.47  0.78  -0.23  -0.22 -0.07  0.07  0.07
           21  2.40  0.978 -0.063  0.61  0.39   0.00  -0.06 -0.01  0.03  0.02
           22  2.80  0.986 -0.056  0.38  0.26   0.06   0.01  0.00 -0.01  0.00
           23  3.20  0.984 -0.050  0.36  0.23   0.05   0.01  0.00  0.00  0.00
           24  3.60  0.985 -0.047  0.36  0.23   0.07   0.01  0.00  0.00  0.00
           25  4.00  0.985 -0.043  0.33  0.21   0.06   0.00  0.00  0.00  0.00
           26  5.00  0.983 -0.037  0.33  0.22   0.06   0.01  0.00  0.00  0.00
           27  6.00  0.980 -0.031  0.34  0.23   0.06   0.01  0.00  0.00  0.00
           28  7.50  0.980 -0.025  0.35  0.25   0.07   0.01  0.00 -0.01  0.00
           29  8.20  0.892 -0.013  2.23  1.59   0.65  -0.40 -0.22 -0.19 -0.13
zone,t="exp, x/H=6"
            2  0.10  0.147 -0.052 17.58 12.81 -4.10   0.03  0.65 -0.11 -2.05
            3  0.15  0.169 -0.061 19.50 15.02 -5.48   0.04  0.24  0.11 -1.31
            4  0.20  0.188 -0.067 19.53 16.50 -6.79  -2.21 -1.70  1.31  0.58
            5  0.30  0.248 -0.084 20.73 16.98 -7.86  -5.45 -4.28  3.36  3.25
            6  0.40  0.306 -0.091 19.70 16.60 -8.23  -6.80 -5.78  4.97  5.60
            7  0.50  0.369 -0.097 20.03 15.89 -8.24  -9.08 -7.74  7.14  6.87
            8  0.60  0.435 -0.099 18.36 13.86 -7.36  -8.93 -6.86  6.50  6.48
            9  0.70  0.501 -0.095 17.26 12.00 -6.57 -10.43 -7.51  7.32  7.26
           10  0.80  0.569 -0.094 14.96  9.63 -5.06 -10.37 -5.91  6.20  5.55
           11  0.90  0.632 -0.091 11.96  7.62 -3.79 -10.19 -4.74  5.11  4.09
           12  1.00  0.686 -0.089  8.88  5.57 -2.80  -7.74 -3.45  3.55  2.93
           13  1.10  0.730 -0.086  6.11  3.95 -1.76  -3.81 -1.72  1.93  1.87
           14  1.15  0.747 -0.086  5.23  3.35 -1.51  -2.68 -1.23  1.39  1.33
           15  1.20  0.763 -0.085  4.36  2.75 -1.25  -1.54 -0.74  0.84  0.79
           16  1.30  0.794 -0.083  3.40  2.19 -0.80  -0.47 -0.23  0.25  0.44
           17  1.40  0.815 -0.082  2.87  1.79 -0.65  -0.33 -0.12  0.20  0.25
           18  1.50  0.834 -0.081  2.50  1.53 -0.61  -0.29 -0.10  0.14  0.14
           19  1.70  0.869 -0.077  2.01  1.24 -0.43  -0.27 -0.10  0.13  0.13
           20  2.00  0.915 -0.074  1.28  0.80 -0.21  -0.22 -0.06  0.08  0.04
           21  2.40  0.949 -0.066  0.53  0.44 -0.04  -0.01  0.00  0.01  0.02
           22  2.80  0.954 -0.060  0.42  0.33  0.03   0.02  0.02  0.00  0.00
           23  3.20  0.956 -0.054  0.41  0.33  0.03   0.02  0.02  0.01  0.00
           24  3.60  0.959 -0.050  0.39  0.31  0.03   0.03  0.02  0.00  0.00
           25  4.00  0.961 -0.046  0.38  0.29  0.02   0.03  0.02  0.00  0.01
           26  5.00  0.963 -0.040  0.38  0.30  0.02   0.02  0.02  0.00  0.00
           27  6.00  0.965 -0.035  0.38  0.31  0.02   0.02  0.02  0.00 -0.01
           28  7.50  0.969 -0.027  0.42  0.34  0.03   0.02  0.01  0.00  0.00
           29  8.20  0.870 -0.018  2.75  1.84  0.76  -0.55 -0.20 -0.20 -0.11
zone,t="exp, x/H=10"
            2  0.10  0.418 -0.029  8.89  5.63 -1.43   2.05  0.73 -0.34 -0.46
            3  0.15  0.433 -0.027  9.97  6.15 -1.84   2.59  0.74 -0.35 -1.10
            4  0.20  0.447 -0.032 10.51  6.97 -2.35   2.19  0.83 -0.25 -0.99
            5  0.30  0.471 -0.036 11.57  8.34 -3.43   1.23  0.55 -0.24 -0.37
            6  0.40  0.496 -0.041 12.24  9.08 -4.19   0.67 -0.37  0.07  0.46
            7  0.50  0.526 -0.043 12.86  9.16 -4.51  -1.12 -1.29  0.99  1.47
            8  0.60  0.560 -0.045 13.37  9.05 -4.61  -3.54 -2.59  2.08  2.43
            9  0.70  0.596 -0.047 13.03  8.44 -4.61  -5.62 -3.18  3.10  3.00
           10  0.80  0.638 -0.047 12.00  7.75 -4.30  -7.23 -4.00  3.65  3.93
           11  0.90  0.676 -0.046 10.96  6.44 -3.68  -8.76 -3.81  3.96  3.37
           12  1.00  0.712 -0.047  9.04  5.35 -2.94  -8.54 -3.51  3.72  2.94
           13  1.10  0.745 -0.046  7.23  4.32 -2.33  -6.66 -2.57  2.72  2.36
           14  1.15  0.758 -0.045  6.44  3.92 -2.02  -5.85 -2.28  2.36  2.02
           15  1.20  0.772 -0.044  5.66  3.52 -1.71  -5.04 -2.00  2.01  1.68
           16  1.30  0.798 -0.042  4.22  2.80 -1.36  -2.94 -1.28  1.48  1.38
           17  1.40  0.819 -0.040  3.29  2.21 -0.96  -1.61 -0.81  0.80  0.96
           18  1.50  0.839 -0.039  2.54  1.80 -0.72  -0.83 -0.53  0.51  0.65
           19  1.70  0.871 -0.038  1.60  1.03 -0.35  -0.28 -0.09  0.11  0.15
           20  2.00  0.908 -0.034  0.96  0.66 -0.14  -0.13 -0.03  0.08  0.09
           21  2.40  0.929 -0.032  0.43  0.35  0.02   0.02  0.02  0.02  0.03
           22  2.80  0.933 -0.031  0.35  0.27  0.04   0.03  0.02  0.01  0.02
           23  3.20  0.937 -0.032  0.33  0.25  0.04   0.04  0.03  0.02  0.03
           24  3.60  0.939 -0.030  0.32  0.24  0.04   0.04  0.03  0.02  0.02
           25  4.00  0.940 -0.031  0.31  0.22  0.02   0.05  0.02  0.01  0.01
           26  5.00  0.944 -0.029  0.30  0.22  0.03   0.04  0.02  0.01  0.01
           27  6.00  0.947 -0.028  0.30  0.23  0.03   0.03  0.02  0.01  0.02
           28  7.50  0.949 -0.024  0.38  0.32  0.05   0.00  0.01  0.01  0.01
           29  8.20  0.827 -0.019  3.14  2.18  0.95  -0.49 -0.25 -0.20 -0.16
